,name,mileage,price,owners,body,int,ext,vin,engine,tm,drive,fuel,height,length,width,gclear,wheelb,ftrackw,mpg,rtrackw
753,2017 INFINITI QX50,"Base | 18,231 miles","$22,210",1,SUV,Black,Majestic White,JN1BJ0RP5HM385066,3.7L V6 325hp 267ft. lbs.,Automatic,RWD,Gasoline,"62.7""","186.8""","71""","6.9""","113.4""","60.4""",17 City / 24 Hwy,"61"""
754,2017 INFINITI QX30,"Premium | 32,783 miles","$19,780",1,Wagon,Tan,Red,SJKCH5CP4HA019424,2.0L Turbo I4 208hp 258ft. lbs.,Automatic,FWD,Gasoline,"59.4""","174.2""","82""","6.8""","106.3""","61.9""",24 City / 33 Hwy,"61.9"""
755,2019 Volkswagen e-Golf,"SE | 3,416 miles","$20,620",1,Hatchback,Black,Blue,WVWKR7AU9KW914319,Electric 134hp 214ft. lbs.,Automatic,FWD,Electric,"57.2""","168.1""","70.8""","5""","103.5""","60.8""",126 City / 111 Hwy,"59.5"""
756,2019 Kia Soul,"+ | 27,070 miles","$13,960",1,SUV,Black,Clear White,KNDJP3A56K7008948,2.0L I4 161hp 150ft. lbs.,Automatic,FWD,Gasoline,"63.5""","163""","70.9""","5.9""","101.2""","61.7""",25 City / 30 Hwy,"62.2"""
757,2019 Buick Enclave,"Essence | 29,750 miles","$25,980",1,SUV,Black,Red Quartz Tintcoat,5GAERBKW1KJ188633,3.6L V6 310hp 266ft. lbs.,Automatic,FWD,Gasoline,"69.9""","204.3""","89.3""","7.7""","120.9""","67.3""",18 City / 26 Hwy,"67"""
759,2019 Kia Soul,"+ | 15,734 miles","$14,960",2,SUV,Black,Titanium Gray,KNDJP3A51K7004029,2.0L I4 161hp 150ft. lbs.,Automatic,FWD,Gasoline,"63.5""","163""","70.9""","5.9""","101.2""","61.7""",25 City / 30 Hwy,"62.2"""
760,2018 Alfa Romeo Stelvio,"Base | 14,980 miles","$26,510",1,SUV,Black,Alfa Rosso,ZASFAKAN3J7B93936,2.0L Turbo I4 280hp 306ft. lbs.,Automatic,AWD,Gasoline,"66""","184.6""","74.9""","8.1""","111""","63.5""",22 City / 28 Hwy,"65"""
761,2019 Nissan Armada,"SL | 33,275 miles","$32,930",1,SUV,Black,Hermosa Blue Pearl,JN8AY2ND9K9091907,5.6L V8 390hp 394ft. lbs.,Automatic,RWD,Gasoline,"75.8""","208.9""","79.9""","9.2""","121.1""","67.5""",14 City / 19 Hwy,"67.9"""
764,2018 Chevrolet Equinox,"LT | 39,793 miles","$17,520",1,SUV,Black,Silver Ice Metallic,2GNAXKEX5J6230246,2.0L Turbo I4 252hp 260ft. lbs.,Automatic,FWD,Gasoline,"65.4""","183.1""","72.6""",Unavailable,"107.3""","62.2""",22 City / 29 Hwy,"62.2"""
765,2017 Ford Escape,"SE | 49,286 miles","$14,240",1,SUV,Black,Shadow Black,1FMCU0GD8HUC34820,EcoBoost 1.5L Turbo I4 179hp 177ft. lbs.,Automatic,FWD,Gasoline,"66.3""","178.1""","81.8""","7.9""","105.9""","61.5""",23 City / 30 Hwy,"61.6"""
766,2019 Ford Escape,"SE | 44,763 miles","$16,860",2,SUV,Tan,Red,1FMCU9G92KUB66537,EcoBoost 2.0L Turbo I4 245hp 275ft. lbs.,Automatic,4x4,Gasoline,"66.3""","178.1""","81.8""","7.9""","105.9""","61.5""",21 City / 27 Hwy,"61.6"""
767,2016 Jeep Compass,"Sport | 40,748 miles","$13,380",2,SUV,Gray,Blue,1C4NJCBA0GD742489,2.0L I4 158hp 141ft. lbs.,Automatic,FWD,Gasoline,"65""","175.1""","71.4""","8.1""","103.7""","59.8""",22 City / 26 Hwy,"59.8"""
768,2019 Cadillac XT5,"Premium Luxury | 28,038 miles","$30,330",1,SUV,Black,Radiant Silver Metallic,1GYKNERS8KZ237159,3.6L V6 310hp 271ft. lbs.,Automatic,FWD,Gasoline,"66""","189.5""","75""","7.8""","112.5""","64.4""",19 City / 26 Hwy,"64.4"""
769,2019 Hyundai Tucson,"SE | 32,279 miles","$17,440",1,SUV,Gray,White,KM8J2CA41KU956760,2.0L I4 164hp 151ft. lbs.,Other,AWD,Gasoline,"64.8""","176.4""","72.8""","6.4""","105.1""","63.3""",22 City / 25 Hwy,"63.8"""
770,2018 Alfa Romeo Stelvio,"Ti | 24,439 miles","$28,510",1,Wagon,Black,Grey,ZASFAKBN7J7B67807,2.0L Turbo I4 280hp 306ft. lbs.,Other,AWD,Gasoline,"66""","184.6""","74.9""","8.1""","111""","63.5""",22 City / 28 Hwy,"65"""
772,2017 BMW X5,"sDrive35i | 26,363 miles","$35,370",1,SUV,Brown,Brown,5UXKR2C51H0U21608,3.0L Turbo I6 300hp 300ft. lbs.,Other,RWD,Gasoline,"69.4""","193.2""","86""","8.2""","115.5""","64.6""",18 City / 25 Hwy,"64.8"""
773,2019 Cadillac XT5,"Premium Luxury | 28,115 miles","$31,180",1,SUV,Black,Black,1GYKNERS5KZ216270,3.6L V6 310hp 271ft. lbs.,Other,FWD,Gasoline,"66""","189.5""","75""","7.8""","112.5""","64.4""",19 City / 26 Hwy,"64.4"""
775,2017 BMW 5 Series,"540i | 15,544 miles","$35,920",1,Sedan,Tan,Grey,WBAJE5C38HG916207,3.0L Turbo I6 335hp 332ft. lbs.,Other,RWD,Gasoline,"58.2""","194.6""","83.7""","5.7""","117.1""","63""",20 City / 30 Hwy,"63.9"""
776,2017 Porsche Macan,"Turbo | 28,021 miles","$60,270",2,SUV,Black,Grey,WP1AF2A53HLB61251,3.6L Twin Turbo V6 400hp 406ft. lbs.,Other,AWD,Gasoline,"63.4""","185""","82.6""","7.8""","110.5""","65.2""",17 City / 23 Hwy,"65"""
777,2017 Alfa Romeo Giulia,"Base | 15,544 miles","$23,800",1,Sedan,Red,Grey,ZARFAEBN3H7532767,2.0L Turbo I4 276hp 295ft. lbs.,Other,RWD,Gasoline,"56.5""","182.6""","79.7""",Unavailable,"111""","61.3""",24 City / 33 Hwy,"63.9"""
778,2018 Alfa Romeo Stelvio,"Sport | 23,337 miles","$29,800",1,Wagon,Black,White,ZASFAKPN3J7B97671,2.0L Turbo I4 280hp 306ft. lbs.,Other,AWD,Gasoline,"66""","184.6""","74.9""","8.1""","111""","63.5""",22 City / 28 Hwy,"65"""
779,2017 Ford Fusion,"SE | 12,585 miles","$14,820",1,Sedan,Black,Blue,3FA6P0H76HR399361,2.5L I4 175hp 175ft. lbs.,Other,FWD,Gasoline,"58.2""","191.8""","83.5""",Unavailable,"112.2""","62.7""",21 City / 32 Hwy,"62.4"""
780,2017 Ford Escape,"SE | 25,258 miles","$15,530",1,SUV,Black,Magnetic,1FMCU0G90HUE16359,EcoBoost 2.0L Turbo I4 245hp 275ft. lbs.,Automatic,FWD,Gasoline,"66.3""","178.1""","81.8""","7.9""","105.9""","61.5""",22 City / 29 Hwy,"61.6"""
781,2019 Volkswagen e-Golf,"SEL Premium | 5,937 miles","$26,690",1,Hatchback,Black,Pure White,WVWPR7AU9KW908591,Electric 134hp 214ft. lbs.,Automatic,FWD,Electric,"57.2""","168.1""","70.8""","5""","103.5""","60.8""",126 City / 111 Hwy,"59.5"""
782,2019 Volkswagen e-Golf,"SE | 6,288 miles","$20,220",1,Hatchback,Black,White,WVWKR7AU4KW909724,Electric 134hp 214ft. lbs.,Automatic,FWD,Electric,"57.2""","168.1""","70.8""","5""","103.5""","60.8""",126 City / 111 Hwy,"59.5"""
783,2019 Jeep Grand Cherokee,"4x4 Limited 4dr SUV | 30,941 miles","$27,850",1,SUV,Black,Silver,1C4RJFBG9KC724031,3.6L V6 295hp 260ft. lbs.,Other,4X4,Gasoline,"69.3""","189.8""","84.8""","8.6""","114.7""","63.9""",18 City / 25 Hwy,"64.1"""
785,2020 Tesla Model 3,"Standard Range Plus | 10,194 miles","$38,780",1,Sedan,Black,Red,5YJ3E1EAXLF633309,Electric 283hp 317ft. lbs.,Automatic,RWD,Electric,"56.8""","184.8""","82.2""","5.5""","113.2""","62.2""",148 City / 132 Hwy,"62.2"""
786,2019 Buick Enclave,"Essence | 31,437 miles","$26,120",1,SUV,Gray,White,5GAERBKW9KJ191568,3.6L V6 310hp 266ft. lbs.,Automatic,FWD,Gasoline,"69.9""","204.3""","89.3""","7.7""","120.9""","67.3""",18 City / 26 Hwy,"67"""
787,2017 Ford Escape,"SE | 33,662 miles","$14,600",1,SUV,Black,Blue,1FMCU0GD3HUD12033,EcoBoost 1.5L Turbo I4 179hp 177ft. lbs.,Automatic,FWD,Gasoline,"66.3""","178.1""","81.8""","7.9""","105.9""","61.5""",23 City / 30 Hwy,"61.6"""
788,2017 Ford Fusion,"SE | 24,828 miles","$14,600",1,Sedan,Black,White,3FA6P0HD4HR350956,EcoBoost 1.5L Turbo I4 181hp 185ft. lbs.,Automatic,FWD,Gasoline,"58.2""","191.8""","83.5""",Unavailable,"112.2""","62.7""",23 City / 34 Hwy,"62.4"""
789,2017 Ford Fusion,"SE | 46,512 miles","$14,190",1,Sedan,Black,Magnetic,3FA6P0H70HR413688,2.5L I4 175hp 175ft. lbs.,Automatic,FWD,Gasoline,"58.2""","191.8""","83.5""",Unavailable,"112.2""","62.7""",21 City / 32 Hwy,"62.4"""
791,2019 Mercedes-Benz GLA,"GLA 250 4MATIC | 30,450 miles","$25,800",1,SUV,Black,Black,WDCTG4GB1KU006323,2.0L Turbo I4 208hp 258ft. lbs.,Automatic,AWD,Gasoline,"58.8""","173.9""","79.6""","5.3""","106.3""","61.4""",23 City / 31 Hwy,"60.8"""
792,2018 GMC Terrain,"SLE | 13,745 miles","$19,780",1,SUV,Black,Summit White,3GKALMEV7JL322716,1.5L Turbo I4 170hp 203ft. lbs.,Automatic,FWD,Gasoline,"65.4""","182.3""","72.4""","6.9""","107.3""","62.3""",26 City / 30 Hwy,"62.5"""
794,2017 Ford Fusion,"SE | 16,734 miles","$14,600",1,Sedan,Black,Ingot Silver,3FA6P0H78HR294689,2.5L I4 175hp 175ft. lbs.,Automatic,FWD,Gasoline,"58.2""","191.8""","83.5""",Unavailable,"112.2""","62.7""",21 City / 32 Hwy,"62.4"""
795,2019 Ford EcoSport,"Titanium | 31,222 miles","$15,590",1,Wagon,Black,Red,MAJ6S3KL7KC251554,2.0L I4 166hp 149ft. lbs.,Automatic,4x4,Gasoline,"65.1""","161.3""","81""","7.8""","99.2""","59.8""",23 City / 29 Hwy,"59.7"""
796,2018 Alfa Romeo Giulia,"Ti | 16,617 miles","$29,210",1,Sedan,Black,White,ZARFAECNXJ7595689,2.0L Turbo I4 280hp 306ft. lbs.,Automatic,RWD,Gasoline,"56.5""","182.6""","79.7""",Unavailable,"111""","61.3""",24 City / 33 Hwy,"63.9"""
797,2017 GMC Acadia,"Denali | 23,587 miles","$29,880",1,SUV,Tan,White Frost Tricoat,1GKKNPLS1HZ264176,3.6L V6 310hp 271ft. lbs.,Automatic,FWD,Gasoline,"66""","193.6""","75.4""","7.2""","112.5""","64.5""",18 City / 25 Hwy,"64.5"""
798,2017 Honda Civic,"EX-L | 28,040 miles","$18,330",1,Sedan,Black,Modern Steel Metallic,2HGFC1F72HH657659,1.5L Turbo I4 174hp 162ft. lbs.,Automatic,FWD,Gasoline,"55.7""","182.3""","70.8""",Unavailable,"106.3""","60.9""",32 City / 42 Hwy,"61.5"""
799,2017 INFINITI QX50,"Base | 18,896 miles","$21,230",1,Wagon,Black,Graphite Shadow,JN1BJ0RP3HM382019,3.7L V6 325hp 267ft. lbs.,Automatic,RWD,Gasoline,"62.7""","186.8""","71""","6.9""","113.4""","60.4""",17 City / 24 Hwy,"61"""
800,2017 Lexus RX 350,"Base | 31,362 miles","$31,470",1,SUV,Black,Caviar,2T2ZZMCA2HC069715,3.5L V6 295hp 267ft. lbs.,Automatic,FWD,Gasoline,"67.7""","192.5""","74.6""","8.2""","109.8""","64.4""",20 City / 27 Hwy,"64"""
801,2019 Nissan Altima,"2.5 SL | 27,574 miles","$19,980",1,Sedan,Black,Gun Metallic,1N4BL4EVXKC220054,2.5L I4 188hp 180ft. lbs.,Other,FWD,Gasoline,"56.8""","192.9""","72.9""",Unavailable,"111.2""","63.2""",28 City / 39 Hwy,"63.2"""
802,2019 Jeep Grand Cherokee,"Limited | 26,835 miles","$28,340",1,SUV,Black,Velvet Red Pearl Coat,1C4RJFBG6KC665648,3.6L V6 295hp 260ft. lbs.,Automatic,4x4,Gasoline,"69.3""","189.8""","84.8""","8.6""","114.7""","63.9""",18 City / 25 Hwy,"64.1"""
804,2017 BMW 5 Series,"540i | 45,493 miles","$30,690",1,Sedan,Black,Black,WBAJE5C35HG917377,3.0L Turbo I6 335hp 332ft. lbs.,Automatic,RWD,Gasoline,"58.2""","194.6""","83.7""","5.7""","117.1""","63""",20 City / 30 Hwy,"63.9"""
805,2017 BMW 5 Series,"540i | 43,034 miles","$32,980",1,Sedan,White,Blue,WBAJE5C3XHG915012,3.0L Turbo I6 335hp 332ft. lbs.,Automatic,RWD,Gasoline,"58.2""","194.6""","83.7""","5.7""","117.1""","63""",20 City / 30 Hwy,"63.9"""
806,2019 Buick Enclave,"Essence | 29,409 miles","$25,840",1,SUV,Gray,Silver,5GAERBKW7KJ192640,3.6L V6 310hp 266ft. lbs.,Automatic,FWD,Gasoline,"69.9""","204.3""","89.3""","7.7""","120.9""","67.3""",18 City / 26 Hwy,"67"""
808,2017 Jeep Cherokee,"Limited | 33,153 miles","$19,190",1,SUV,Tan,Diamond Black Crystal Pearl Coat,1C4PJLDS8HW642175,3.2L V6 271hp 239ft. lbs.,Automatic,FWD,Gasoline,"65.7""","182""","73.2""","8.7""","106.3""","62.2""",21 City / 29 Hwy,"61.9"""
809,2017 Honda Odyssey,"EX | 21,360 miles","$26,980",1,Van Minivan,Gray,Silver,5FNRL5H69HB014612,3.5L V6 248hp 250ft. lbs.,Automatic,FWD,Gasoline,"68.4""","202.9""","91.5""",Unavailable,"118.1""","68.1""",19 City / 27 Hwy,"68.2"""
810,2019 Honda Pilot,"Touring-8P | 7,334 miles","$38,960",1,SUV,Black,Grey,5FNYF6H93KB069244,3.5L V6 280hp 262ft. lbs.,Automatic,AWD,Gasoline,"70.6""","196.5""","78.6""","7.3""","111""","66.3""",19 City / 26 Hwy,"66.3"""
811,2019 Buick Enclave,"Essence | 40,031 miles","$24,450",1,SUV,Gray,Quicksilver Metallic,5GAERBKWXKJ186833,3.6L V6 310hp 266ft. lbs.,Automatic,FWD,Gasoline,"69.9""","204.3""","89.3""","7.7""","120.9""","67.3""",18 City / 26 Hwy,"67"""
812,2019 Jeep Grand Cherokee,"Limited | 28,108 miles","$28,420",1,SUV,Black,Silver,1C4RJFBG2KC665808,3.6L V6 295hp 260ft. lbs.,Automatic,4x4,Gasoline,"69.3""","189.8""","84.8""","8.6""","114.7""","63.9""",18 City / 25 Hwy,"64.1"""
813,2019 Jeep Grand Cherokee,"Limited | 29,374 miles","$28,240",1,SUV,Black,Bright White Clear Coat,1C4RJFBG6KC723824,3.6L V6 295hp 260ft. lbs.,Automatic,4x4,Gasoline,"69.3""","189.8""","84.8""","8.6""","114.7""","63.9""",18 City / 25 Hwy,"64.1"""
815,2019 Buick Enclave,"Essence | 36,729 miles","$24,730",1,SUV,Black,Red Quartz Tintcoat,5GAERBKW8KJ183784,3.6L V6 310hp 266ft. lbs.,Automatic,FWD,Gasoline,"69.9""","204.3""","89.3""","7.7""","120.9""","67.3""",18 City / 26 Hwy,"67"""
817,2016 Kia Optima Hybrid,"EX | 39,946 miles","$16,060",1,Sedan,Black,Snow White Pearl,KNAGN4AD9G5098397,2.4L Hybrid I4 199hp 235ft. lbs.,Automatic,FWD,Gas/Electric Hybrid,"57.08""","190.7""","72""","5.1""","110""","62.8""",35 City / 39 Hwy,"62.8"""
818,2017 Chevrolet Bolt EV,"LT | 18,171 miles","$17,890",1,Hatchback,Gray,Grey,1G1FW6S06H4134517,Electric 200hp 266ft. lbs.,Automatic,FWD,Electric,"62.8""","164""","69.5""",Unavailable,"102.4""","59.1""",128 City / 110 Hwy,"59.1"""
819,2017 Chevrolet Cruze,"LT Auto | 112,311 miles","$14,170",2,Sedan,Black,White,1G1BE5SM9H7199102,1.4L Turbo I4 153hp 177ft. lbs.,Automatic,FWD,Gasoline,"57.4""","183.7""","70.5""",Unavailable,"106.3""","60.8""",30 City / 40 Hwy,"61.3"""
820,2018 Hyundai Ioniq Electric,Base | 283 miles,"$20,180",1,Hatchback,Black,Ceramic White,KMHC75LHXJU028949,Electric 118hp 215ft. lbs.,Automatic,FWD,Electric,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,150 City / 122 Hwy,Unavailable
822,2018 Acura MDX,"SH-AWD w/Tech | 32,999 miles","$35,350",1,SUV,Black,Modern Steel Metallic,5J8YD4H52JL006673,3.5L V6 290hp 267ft. lbs.,Automatic,AWD,Gasoline,"67.4""","196.2""","77.7""","7.3""","111""","66.3""",18 City / 26 Hwy,"66.3"""
825,2018 Porsche Macan,"Base | 9,716 miles","$43,580",1,SUV,Black,Grey,WP1AA2A56JLB06765,2.0L Turbo I4 252hp 273ft. lbs.,Automatic,AWD,Gasoline,"63.9""","184.3""","82.6""","7.8""","110.5""","65.2""",20 City / 25 Hwy,"65"""
826,2019 Volvo XC40,"T5 R-Design | 3,965 miles","$37,940",1,SUV,Black,White,YV4162UM7K2151319,2.0L Turbo I4 248hp 258ft. lbs.,Automatic,AWD,Gasoline,"65.3""","174.2""","80.1""","8.3""","106.4""","63""",23 City / 31 Hwy,"64"""
827,2019 Hyundai Sonata,"SE | 6,958 miles","$16,980",1,Sedan,Gray,Symphony Silver,5NPE24AF2KH798064,Theta II 2.4L I4 185hp 178ft. lbs. SULEV,Automatic,FWD,Gasoline,"58.1""","191.1""","73.4""","5.3""","110.4""","63.5""",26 City / 35 Hwy,"63.8"""
828,2017 Kia Sedona,"SXL | 37,719 miles","$26,300",1,Van Minivan,Red,Platinum Graphite,KNDME5C11H6336351,3.3L V6 276hp 248ft. lbs.,Automatic,FWD,Gasoline,"69.1""","201.4""","89.3""","6.7""","120.5""","68.3""",17 City / 22 Hwy,"68.6"""
829,2019 BMW X5,"xDrive40i | 13,352 miles","$51,980",1,SUV,Black,Black Sapphire Metallic,5UXCR6C55KLL01246,3.0L Turbo I6 335hp 330ft. lbs.,Automatic,AWD,Gasoline,"69""","194.3""","87.3""","8.7""","117.1""","65.6""",20 City / 26 Hwy,"66.4"""
831,2019 Buick Enclave,"Essence | 38,952 miles","$27,170",1,SUV,Tan,White,5GAERBKW4KJ192370,3.6L V6 310hp 266ft. lbs.,Automatic,FWD,Gasoline,"69.9""","204.3""","89.3""","7.7""","120.9""","67.3""",18 City / 26 Hwy,"67"""
832,2011 Honda Accord,"LX | 93,116 miles","$9,950",4,Sedan,Tan,White,1HGCP2F38BA064498,2.4L I4 177hp 161ft. lbs.,Automatic,FWD,Gasoline,"58.1""","194.1""","72.7""",Unavailable,"110.2""","62.6""",23 City / 34 Hwy,"62.6"""
833,2019 Ford Fusion,"SE | 33,629 miles","$17,330",1,Sedan,Black,Magnetic,3FA6P0T9XKR217161,EcoBoost 2.0L Turbo I4 245hp 275ft. lbs.,Automatic,AWD,Gasoline,"58.1""","191.7""","83.5""",Unavailable,"112.2""","62.7""",20 City / 29 Hwy,"62.4"""
834,2015 Chevrolet Corvette,"Stingray Z51 | 41,726 miles","$40,480",1,Coupe,Black,Shark Gray Metallic,1G1YJ2D74F5108600,6.2L V8 455hp 460ft. lbs.,Manual,RWD,Gasoline,"48.8""","176.9""","73.9""",Unavailable,"106.7""","63""",17 City / 29 Hwy,"61.7"""
835,2018 Mercedes-Benz S-Class,"S 560 | 27,277 miles","$69,980",1,Sedan,Brown,Brown,WDDUG8DBXJA367657,4.0L Twin Turbo V8 463hp 516ft. lbs.,Automatic,RWD,Gasoline,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,17 City / 27 Hwy,Unavailable
836,2019 Acura MDX,"Base | 32,601 miles","$33,130",1,SUV,Black,Black,5J8YD3H37KL011281,3.5L V6 290hp 267ft. lbs.,Automatic,FWD,Gasoline,"67.4""","196.2""","77.7""","7.3""","111""","66.3""",20 City / 27 Hwy,"66.3"""
837,2017 Kia Sorento,"EX V6 | 36,568 miles","$21,290",1,SUV,Black,Silver,5XYPH4A59HG324434,3.3L V6 290hp 252ft. lbs.,Automatic,FWD,Gasoline,"66.5""","187.4""","74.4""","7.3""","109.4""","64.1""",18 City / 25 Hwy,"64.5"""
839,2019 Chevrolet Tahoe,"LT | 29,557 miles","$44,480",1,SUV,Black,Black,1GNSKBKC7KR305250,EcoTec3 5.3L V8 355hp 383ft. lbs.,Automatic,4x4,Gasoline,"74.4""","204""","80.5""","7.9""","116""","68.7""",15 City / 21 Hwy,"68.7"""
840,2019 Jaguar F-PACE,"30t Prestige | 25,031 miles","$36,400",1,SUV,Black,White,SADCK2GX9KA609207,Ingenium 2.0L Turbo I4 296hp 295ft. lbs.,Automatic,AWD,Gasoline,"65""","186.3""","85.6""","6.3""","113.1""","64.6""",22 City / 27 Hwy,"65.1"""
841,2019 Ford Fusion,"SEL | 31,580 miles","$16,600",1,Sedan,Black,White,3FA6P0CD2KR233455,EcoBoost 1.5L Turbo I4 181hp 185ft. lbs.,Automatic,FWD,Gasoline,"58.1""","191.7""","83.5""",Unavailable,"112.2""","62.7""",23 City / 34 Hwy,"62.4"""
842,2017 Lincoln Continental,"Reserve | 21,321 miles","$30,800",1,Sedan,Black,Ingot Silver,1LN6L9RP6H5629715,2.7L Twin Turbo V6 335hp 380ft. lbs.,Automatic,FWD,Gasoline,"58.5""","201.4""","82.3""",Unavailable,"117.9""","63.2""",18 City / 27 Hwy,"64.1"""
843,2019 Nissan Armada,"SL | 34,719 miles","$34,280",1,SUV,Black,Hermosa Blue Pearl,JN8AY2NC8K9587398,5.6L V8 390hp 394ft. lbs.,Automatic,4x4,Gasoline,"75.8""","208.9""","79.9""","9.2""","121.1""","67.5""",13 City / 18 Hwy,"67.9"""
844,2019 Nissan Altima,"2.5 SL | 37,018 miles","$18,810",1,Sedan,Black,Brilliant Silver Metallic,1N4BL4EV7KC202918,2.5L I4 188hp 180ft. lbs.,Automatic,FWD,Gasoline,"56.8""","192.9""","72.9""",Unavailable,"111.2""","63.2""",28 City / 39 Hwy,"63.2"""
845,2017 Nissan Rogue,"SV | 35,733 miles","$15,620",1,SUV,Black,Red,JN8AT2MTXHW403492,2.5L I4 170hp 175ft. lbs.,Other,FWD,Gasoline,Unavailable,"184.5""","72.4""","7.8""","106.5""","62.8""",26 City / 33 Hwy,"62.8"""
846,2019 Mercedes-Benz A-Class,"A 220 | 17,136 miles","$28,000",1,Sedan,Black,Black,WDD3G4EB7KW027289,2.0L Turbo I4 188hp 221ft. lbs.,Automatic,FWD,Gasoline,"56.9""","179.1""","78.4""","4.3""","107.4""","61.7""",24 City / 35 Hwy,"60.9"""
848,2019 Chevrolet Tahoe,"LT | 38,914 miles","$42,450",1,SUV,Black,Black,1GNSKBKC2KR375769,EcoTec3 5.3L V8 355hp 383ft. lbs.,Automatic,4x4,Gasoline,"74.4""","204""","80.5""","7.9""","116""","68.7""",15 City / 21 Hwy,"68.7"""
849,2019 Volvo XC90,"T6 Momentum | 29,180 miles","$40,000",1,SUV,Tan,Blue,YV4A22PKXK1416648,2.0L Twincharged I4 316hp 295ft. lbs.,Automatic,AWD,Gasoline,"69.9""","194.9""","84.3""","9.4""","117.5""","65.6""",19 City / 26 Hwy,"65.6"""
850,2018 Alfa Romeo Stelvio,"Ti Sport | 31,442 miles","$29,300",1,Wagon,Black,Silver,ZASFAKNN0J7B99722,2.0L Turbo I4 280hp 306ft. lbs.,Other,AWD,Gasoline,"66""","184.6""","74.9""","8.1""","111""","63.5""",22 City / 28 Hwy,"65"""
851,2018 Alfa Romeo Stelvio,"Base | 19,010 miles","$25,970",1,Wagon,Black,White,ZASFAKAN5J7B69721,2.0L Turbo I4 280hp 306ft. lbs.,Other,AWD,Gasoline,"66""","184.6""","74.9""","8.1""","111""","63.5""",22 City / 28 Hwy,"65"""
852,2018 Alfa Romeo Giulia,"Base | 12,867 miles","$24,900",1,Sedan,Red,Grey,ZARFAEBN6J7593102,2.0L Turbo I4 280hp 306ft. lbs.,Automatic,RWD,Gasoline,"56.5""","182.6""","79.7""",Unavailable,"111""","61.3""",24 City / 33 Hwy,"63.9"""
853,2018 Ford Fusion,"Titanium | 21,715 miles","$17,300",1,Sedan,Tan,Shadow Black,3FA6P0K91JR156637,EcoBoost 2.0L Turbo I4 245hp 275ft. lbs.,Automatic,FWD,Gasoline,"58.1""","191.7""","83.5""",Unavailable,"112.2""","62.7""",21 City / 31 Hwy,"62.4"""
854,2017 Mazda CX-5,"Sport | 29,968 miles","$18,590",1,SUV,Black,Black,JM3KFABL1H0209674,SKYACTIV-G 2.5L I4 187hp 185ft. lbs.,Other,FWD,Gasoline,"66.1""","179.1""","72.5""","7.6""","106.2""","62.8""",24 City / 31 Hwy,"62.8"""
855,2016 Audi A7,"3.0T quattro Prestige | 33,453 miles","$36,900",1,Sedan,Black,Grey,WAU2GAFC4GN158525,3.0L Supercharged V6 333hp 325ft. lbs.,Automatic,AWD,Gasoline,"55.9""","196.2""","84.2""","4.4""","114.7""","64.7""",20 City / 30 Hwy,"64.4"""
856,2017 Nissan Rogue,"SV | 35,783 miles","$15,880",1,Wagon,Black,White,JN8AT2MTXHW151808,2.5L I4 170hp 175ft. lbs.,Automatic,FWD,Gasoline,Unavailable,"184.5""","72.4""","7.8""","106.5""","62.8""",26 City / 33 Hwy,"62.8"""
858,2018 Alfa Romeo Stelvio,"Sport | 18,714 miles","$27,560",1,SUV,Black,Blue,ZASFAKPN4J7B76957,2.0L Turbo I4 280hp 306ft. lbs.,Automatic,AWD,Gasoline,"66""","184.6""","74.9""","8.1""","111""","63.5""",22 City / 28 Hwy,"65"""
859,2017 Ford Edge,"SE | 30,407 miles","$17,950",1,SUV,Black,Black,2FMPK4G93HBC55574,EcoBoost 2.0L Turbo I4 245hp 275ft. lbs.,Automatic,AWD,Gasoline,"68.7""","188.1""","85.8""","8""","112.2""","64.8""",20 City / 27 Hwy,"64.7"""
861,2018 Kia Forte,"LX | 50,581 miles","$11,900",3,Sedan,Black,White,3KPFL4A70JE222065,Nu 2.0L I4 147hp 132ft. lbs.,Automatic,FWD,Gasoline,"56.3""","179.5""","70.1""","5.3""","106.3""","61.5""",29 City / 37 Hwy,"62"""
863,2018 Alfa Romeo Stelvio,"Ti | 18,685 miles","$26,330",1,Wagon,Black,Black,ZASFAKBN7J7B69136,2.0L Turbo I4 280hp 306ft. lbs.,Automatic,AWD,Gasoline,"66""","184.6""","74.9""","8.1""","111""","63.5""",22 City / 28 Hwy,"65"""
864,2019 Chevrolet Cruze,"LS | 44,685 miles","$12,350",1,Sedan,Black,Silver Ice Metallic,1G1BC5SM7K7123004,1.4L Turbo I4 153hp 177ft. lbs.,Automatic,FWD,Gasoline,"57.4""","183.7""","70.5""",Unavailable,"106.3""","60.8""",28 City / 38 Hwy,"61.3"""
865,2017 Honda Accord,"EX-L V6 | 16,585 miles","$22,220",2,Sedan,Tan,White Orchid Pearl,1HGCR3F84HA022060,3.5L V6 278hp 252ft. lbs.,Automatic,FWD,Gasoline,"57.7""","192.5""","72.8""",Unavailable,"109.3""","62.4""",21 City / 33 Hwy,"62.6"""
866,2018 Acura MDX,"SH-AWD w/Tech | 16,223 miles","$38,190",1,SUV,Tan,Basque Red Pearl II,5J8YD4H54JL027363,3.5L V6 290hp 267ft. lbs.,Automatic,AWD,Gasoline,"67.4""","196.2""","77.7""","7.3""","111""","66.3""",18 City / 26 Hwy,"66.3"""
